timestamp,cpu_millicores,memory_mi
1786832681.9026423,151,356
1786832687.5630994,151,356
1786832692.9093924,151,356
1786832698.3051138,1012,359
1786832703.6175947,1012,359
1786832709.0733433,1012,359
1786832714.4019485,1116,360
1786832719.7123406,1116,360
1786832725.6343744,1116,360
1786832731.1063476,1067,359
1786832736.6820462,1067,359
1786832741.9545317,509,361
1786832747.3275971,509,361
1786832752.762646,509,361
1786832758.5538356,239,355
1786832764.6281898,239,355
1786832770.2750187,239,355
1786832775.6845934,1097,352
1786832781.333529,1097,352
1786832787.668974,1097,352
1786832793.2056167,988,341
1786832804.8195539,988,341
1786832816.273074,871,338
1786832823.389976,574,337
1786832833.3273654,574,337
1786832841.641506,794,337
1786832851.5783243,699,337
1786832864.3001544,699,337
1786832872.910887,592,333
1786832882.4899457,592,333
1786832908.39935,722,200
1786832915.7021782,722,200
1786832921.650361,565,113
1786832952.7130587,340,121
