timestamp,cpu_millicores,memory_mi
1786830953.9617383,683,341
1786830959.453576,153,341
1786830964.9261348,153,341
1786830970.4086444,112,341
1786830975.869052,112,341
1786830981.5926645,112,341
1786830987.0152242,137,341
1786830992.5174942,137,341
1786830998.4568868,137,341
1786831003.9056518,139,341
1786831009.2642965,139,341
1786831015.8078463,142,341
1786831022.5010867,142,341
1786831028.090491,142,341
1786831033.6084418,321,340
1786831038.9339147,321,340
1786831044.4063826,321,340
1786831049.9066875,122,340
1786831055.250994,122,340
1786831060.5576477,89,340
1786831065.9300182,89,340
1786831071.289579,89,340
