timestamp,cpu_millicores,memory_mi
1786831106.8249862,169,340
1786831110.1898167,169,340
1786831113.5273442,169,340
1786831116.8641524,169,340
1786831121.2587204,1023,341
1786831124.6287313,1023,341
1786831128.2064638,1023,341
1786831131.6276286,1023,341
1786831135.0499442,1122,341
1786831138.4700782,1122,341
1786831141.828237,1122,341
1786831145.206117,1122,341
1786831148.6533442,1122,341
1786831152.1437497,1122,341
1786831156.4560313,1122,341
1786831159.8270648,1122,341
1786831163.209053,1122,341
1786831166.667118,1116,341
